report_date,egp_usd_rate,cbe_corridor_rate,revenue,cogs,gross_profit,operating_expenses,ebitda,ebit,interest_expense,net_income,trade_receivables_total,inventory,accounts_payable_total,trade_receivables_usd,accounts_payable_usd,cash_total_egp_eq,cash_usd,short_term_debt,long_term_debt,total_debt,current_assets,total_assets,total_liabilities,total_equity,retained_earnings,operating_cash_flow,principal_repayments,monthly_imports_usd
11/30/2020,15.7765469,0.0925,14502020.6,10154949.72,4347070.879,1884107.753,2462963.126,2262963.126,640183.6158,1257654.12,25030323.69,19736173.47,11876127.64,3754548.554,7125676.585,2175303.09,435060.618,25084745.76,37627118.64,62711864.41,46941800.26,66941800.26,74587992.05,-7646191.793,-6116953.434,1970370.501,627118.6441,386204.2735
12/31/2020,15.66850419,0.0925,14691650.9,10282681.98,4408968.917,1918336.316,2490632.601,2290632.601,653160.3107,1269041.025,25689638.15,19926327.23,12199792.18,3853445.723,7319875.309,2203747.635,440749.527,25593220.34,38389830.51,63983050.85,47819713.02,67819713.02,76182843.03,-8363130.011,-6690504.009,1992506.081,639830.5085,393758.6583
1/31/2021,15.56551894,0.0925,11623538.15,8131498.534,3492039.616,1952596.601,1539443.016,1339443.016,666137.0056,521812.1577,20587453.17,15711709.03,9785362.643,3088117.975,5871217.586,1743530.723,348706.1445,26101694.92,39152542.37,65254237.29,38042692.92,58042692.92,75039599.93,-16996907.01,-13597525.61,1231554.413,652542.3729,313442.7538
2/28/2021,15.75066201,0.0925,11897617.16,8330251.621,3567365.539,1997694.738,1569670.801,1369670.801,679113.7006,535181.7529,21341770.89,16048676.85,10165730.79,3201265.634,6099438.475,1784642.574,356928.5148,26610169.49,39915254.24,66525423.73,39175090.32,59175090.32,76691154.52,-17516064.2,-14012851.36,1255736.641,665254.2373,317329.5807
3/31/2021,15.63775948,0.0925,12283492.17,8596009.709,3687482.464,2031479.371,1656003.093,1456003.093,692090.3955,592032.3402,22311540.87,16512109.05,10635740.83,3346731.13,6381444.496,1842523.826,368504.7652,27118644.07,40677966.1,67796610.17,40666173.74,60666173.74,78432351,-17766177.26,-14212941.81,1324802.474,677966.1017,329817.4416
4/30/2021,15.58835308,0.0925,16121480.54,11279304.17,4842176.372,2067613.461,2774562.91,2574562.91,705067.0904,1448859.26,29647129.47,21602735.11,14146923.88,4447069.421,8488154.325,2418222.081,483644.4163,27627118.64,41440677.97,69067796.61,53668086.66,73668086.66,83214720.49,-9546633.825,-7637307.06,2219650.328,690677.9661,434143.5215
5/31/2021,15.739322,0.0925,16959723.32,11873930.18,5085793.143,2111755.022,2974038.121,2774038.121,718043.7853,1593395.61,31571914.32,22674510.74,15093979.04,4735787.148,9056387.426,2543958.499,508791.6997,28135593.22,42203389.83,70338983.05,56790383.56,76790383.56,85432962.09,-8642578.533,-6914062.826,2379230.497,703389.8305,452647.0777
6/30/2021,15.74530016,0.0925,14436507.33,10107637.86,4328869.473,2150164.675,2178704.798,1978704.798,731020.4802,966955.3461,27200989.8,19244485.64,13020008.09,4080148.47,7812004.853,2165476.1,433095.2199,28644067.8,42966101.69,71610169.49,48610951.54,68610951.54,84630177.58,-16019226.04,-12815380.83,1742963.838,716101.6949,385167.8058
7/31/2021,15.76051292,0.0925,13827287.61,9681766.07,4145521.539,2188968.854,1956552.685,1756552.685,743997.1751,784730.5198,26365590.78,18378945.76,12635525.21,3954838.617,7581315.126,2074093.141,414818.6283,29152542.37,43728813.56,72881355.93,46818629.68,66818629.68,85516881.14,-18698251.46,-14958601.17,1565242.148,728813.5593,368583.1592
8/31/2021,15.56037046,0.0925,15769063.02,11031331.92,4737731.093,2218640.923,2519090.17,2319090.17,756973.8701,1210640.133,30424491.64,20878509.57,14583794.75,4563673.746,8750276.848,2365359.453,473071.8905,29661016.95,44491525.42,74152542.37,53668360.67,73668360.67,88736337.12,-15067976.45,-12054381.16,2015272.136,741525.4237,425362.5691
9/30/2021,15.59873807,0.0925,14431444.39,10097357.08,4334087.318,2258333.65,2075753.668,1875753.668,769950.565,856997.4051,28169853.32,19053769.85,13520189.98,4225477.998,8112113.99,2164716.659,432943.3318,30169491.53,45254237.29,75423728.81,49388339.83,69388339.83,88943918.8,-19555578.96,-15644463.17,1660602.935,754237.2881,388391.3057
10/31/2021,15.78568329,0.0925,16082507.43,11262143.74,4820363.687,2304614.544,2515749.143,2315749.143,782927.2599,1187936.96,31756137.55,21188100.94,15270703.38,4763420.633,9162422.028,2412376.114,482475.2229,30677966.1,46016949.15,76694915.25,55356614.6,75356614.6,91965618.63,-16609004.03,-13287203.22,2012599.315,766949.1525,428064.2226
11/30/2021,15.68548518,0.0925,18315230.2,12819814.51,5495415.691,2338334.326,3157081.365,2957081.365,795903.9548,1674912.493,36578722.46,24046205.74,17600084.32,5486808.369,10560050.59,2747284.53,549456.906,31186440.68,46779661.02,77966101.69,63372212.73,83372212.73,95566186.02,-12193973.29,-9755178.629,2525665.092,779661.0169,490382.5808
12/31/2021,15.71537385,0.0925,17635715.33,12345864.2,5289851.13,2377816.965,2912034.165,2712034.165,808880.6497,1474943.974,35620159.49,23087463.55,17158658.71,5343023.923,10295195.23,2645357.299,529071.4598,31694915.25,47542372.88,79237288.14,61352980.34,81352980.34,96395946.85,-15042966.51,-12034373.21,2329627.332,792372.8814,471354.903
1/31/2022,15.70957777,0.0925,15777873.57,11044992.76,4732880.807,2415696.264,2317184.543,2117184.543,821857.3446,1003878.579,32224301.11,20592359.39,15537871.18,4833645.166,9322722.705,2366681.036,473336.2071,32203389.83,48305084.75,80508474.58,55183341.53,75183341.53,96046345.75,-20863004.22,-16690403.38,1853747.634,805084.7458,421844.2885
2/28/2022,15.56961457,0.0925,13841802.04,9683513.758,4158288.286,2447277.354,1711010.933,1511010.933,834834.0395,524037.0922,28582930.21,17999299.58,13786697.55,4287439.531,8272018.532,2076270.307,415254.0613,32711864.41,49067796.61,81779661.02,48658500.1,68658500.1,95566358.57,-26907858.47,-21526286.78,1368808.746,817796.6102,373169.6908
3/31/2022,18.45215082,0.1325,17373534.82,12313750.13,5059784.688,2622551.928,2437232.76,2237232.76,1124646.893,862254.0474,36268480.89,22818700.81,17740148.5,5440272.133,10644089.1,2606030.223,521206.0447,33220338.98,49830508.47,83050847.46,61693211.92,81693211.92,100790996,-19097784.03,-15278227.23,1949786.208,830508.4746,400400.4819
4/30/2022,18.4423595,0.1325,21249741.77,15060406.6,6189335.17,2662219.742,3527115.429,3327115.429,1141860.876,1693572.278,44840556.78,27823463.04,21952457.08,6726083.518,13171474.25,3187461.265,637492.2531,33728813.56,50593220.34,84322033.9,75851481.09,95851481.09,106274491,-10423009.89,-8338407.909,2821692.343,843220.339,489972.2272
5/31/2022,18.45089464,0.1325,19853566.36,14071429.79,5782136.567,2702772.494,3079364.073,2879364.073,1159074.859,1333224.141,42343058.2,25916870.7,20749396.48,6351458.73,12449637.89,2978034.954,595606.9908,34237288.14,51355932.2,85593220.34,71237963.85,91237963.85,106342616.8,-15104652.97,-12083722.37,2463491.258,855932.2034,457585.2847
6/30/2022,18.52027141,0.1325,18582438.08,13174609.58,5407828.498,2746367.288,2661461.21,2461461.21,1176288.842,996008.5853,40051978.12,24190667.31,19650265.14,6007796.718,11790159.08,2787365.712,557473.1424,34745762.71,52118644.07,86864406.78,67030011.14,87030011.14,106514671.9,-19484660.78,-15587728.62,2129168.968,868644.0678,426816.9497
7/31/2022,18.56014361,0.1325,17406738.67,12343270.48,5063468.184,2788572.515,2274895.669,2074895.669,1193502.825,683079.4543,37911286.75,22594461.22,18619509.71,5686693.013,11171705.82,2611010.8,522202.16,35254237.29,52881355.93,88135593.22,63116758.77,83116758.77,106755102.9,-23638344.16,-18910675.32,1819916.535,881355.9322,399025.0531
8/31/2022,18.43963228,0.1325,18139467.61,12855893.16,5283574.451,2822615.829,2460958.622,2260958.622,1210716.808,813937.4061,39917077.03,23460189.21,19610684.48,5987561.554,11766410.69,2720920.141,544184.0283,35762711.86,53644067.8,89406779.66,66098186.38,86098186.38,109017464.1,-22919277.76,-18335422.21,1968766.898,894067.7966,418312.8913
9/30/2022,18.44015835,0.1325,18371647.77,13020475.81,5351171.961,2862775.153,2488396.808,2288396.808,1227930.791,821861.1632,40843183.03,23686967.29,20082428.79,6126477.455,12049457.27,2755747.165,551149.4331,36271186.44,54406779.66,90677966.1,67285897.49,87285897.49,110760394.9,-23474497.4,-18779597.92,1990717.446,906779.661,423656.0954
10/31/2022,23.94201762,0.1325,18266334.76,13265897.56,5000437.201,3192908.896,1807528.305,1607528.305,1245144.774,280847.2368,41021853.48,24058492.18,20685806.36,6153278.023,12411483.82,2739950.214,547990.0428,36779661.02,55169491.53,91949152.54,67820295.88,87820295.88,112634958.9,-24814663.02,-19851730.42,1446022.644,919491.5254,332450.6171
11/30/2022,23.95650709,0.1325,22309891.92,16203554.22,6106337.701,3237824.788,2868512.913,2668512.913,1262358.757,1089769.471,50606901.73,29294561.3,25541195.63,7591035.259,15324717.38,3346483.788,669296.7576,37288135.59,55932203.39,93220338.98,83247946.82,103247946.8,118761534.6,-15513587.8,-12410870.24,2294810.331,932203.3898,405824.2922
12/31/2022,23.99031401,0.1925,22595297.38,16413275.4,6182021.984,3283808.167,2898213.817,2698213.817,1752030.367,733292.1733,51764932.71,29580987.87,26149964.19,7764739.906,15689978.52,3389294.607,677858.9215,37796610.17,56694915.25,94491525.42,84735215.18,104735215.2,120641489.6,-15906274.44,-12725019.55,2318571.053,944915.2542,410497.5548
1/31/2023,30.94675718,0.1925,15730290.66,11775012.13,3955278.53,3709864.625,245413.9045,45413.90451,1775600.282,-1340894.443,36392960.6,21155106.55,18959765.3,5458944.091,11375859.18,1179771.8,235954.36,38305084.75,57457627.12,95762711.86,58727838.95,78727838.95,114722477.2,-35994638.22,-28795710.57,196331.1236,957627.1186,228295.5606
2/28/2023,31.15369134,0.1925,18605188.66,13939297.17,4665891.493,3770621.231,895270.2623,695270.2623,1799170.198,-855522.4499,43464663.91,24964729.96,22680890.31,6519699.586,13608534.18,1395389.15,279077.8299,38813559.32,58220338.98,97033898.31,69824783.01,89824783.01,119714788.6,-29890005.6,-23912004.48,716216.2099,970338.9831,268461.8721
3/31/2023,31.04534915,0.1925,18026702.79,13499666.63,4527036.161,3813912.583,713123.5783,513123.5783,1822740.113,-1014952.814,42520612.52,24101099.75,22194367.17,6378091.877,13316620.3,1352002.709,270400.5419,39322033.9,58983050.85,98305084.75,67973714.97,87973714.97,120499451.9,-32525736.95,-26020589.56,570498.8626,983050.8475,260902.2028
4/30/2023,31.09277615,0.1925,25132110.3,18824492.96,6307617.331,3865937.643,2441679.687,2241679.687,1846310.028,306411.4859,59848499.94,33501216.29,31267801.87,8977274.991,18760681.12,1884908.272,376981.6544,39830508.47,59745762.71,99576271.19,95234624.5,115234624.5,130844073.1,-15609448.55,-12487558.84,1953343.75,995762.7119,363257.8746
5/31/2023,30.9052659,0.1925,25566894.01,19134887.66,6432006.352,3904449.95,2527556.402,2327556.402,1869879.944,354699.2551,61461657.64,33945506.92,32107692.86,9219248.646,19264615.71,1917517.051,383503.4102,40338983.05,60508474.58,100847457.6,97324681.62,117324681.6,132955150.5,-15630468.87,-12504375.09,2022045.121,1008474.576,371487.9087
6/30/2023,31.25833641,0.1925,19309648.69,14473524.81,4836123.873,3974334.224,861789.6485,661789.6485,1893449.859,-954536.663,46855898.93,25594425.24,24531397.99,7028384.84,14718838.79,1448223.652,289644.7303,40847457.63,61271186.44,102118644.1,73898547.82,93898547.82,126650042.1,-32751494.24,-26201195.39,689431.7188,1021186.441,277817.5644
7/31/2023,30.89859112,0.1925,20253225.91,15157578.2,5095647.71,4002485.86,1093161.85,893161.8501,1917019.774,-793489.891,49603239.72,26718442.92,25947718.61,7440485.958,15568631.16,1518991.943,303798.3886,41355932.2,62033898.31,103389830.5,77840674.58,97840674.58,129337549.1,-31496874.53,-25197499.63,874529.4801,1033898.305,294335.3269
8/31/2023,30.84002668,0.1925,19774961.64,14795955.46,4979006.177,4048183.075,930823.1015,730823.1015,1940589.689,-937569.1055,48878789.36,25997413.27,25579448.43,7331818.404,15347669.06,1483122.123,296624.4246,41864406.78,62796610.17,104661016.9,76359324.76,96359324.76,130240465.4,-33881140.62,-27104912.5,744658.4812,1046610.169,287858.8066
9/30/2023,30.83151289,0.1925,20958770.1,15681132.38,5277637.717,4096834.287,1180803.43,980803.4296,1964159.605,-762101.0356,52278514.11,27464130.15,27375536.19,7841777.116,16425321.71,1571907.757,314381.5514,42372881.36,63559322.03,105932203.4,81314552.02,101314552,133307739.6,-31993187.56,-25594550.05,944642.7437,1059322.034,305164.3771
10/31/2023,30.79850983,0.1925,21110454.77,15792402.45,5318052.326,4143968.123,1174084.204,974084.2035,1987729.52,-785575.1201,53133941.25,27569787.32,27837455.16,7970091.187,16702473.09,1583284.108,316656.8216,42881355.93,64322033.9,107203389.8,82287012.67,102287012.7,135040845,-32753832.31,-26203065.85,939267.3628,1072033.898,307659.0886
11/30/2023,30.85723235,0.1925,25921746.02,19396502.24,6525243.783,4196757.62,2328486.163,2128486.163,2011299.435,90819.71444,65829518.85,33752105.59,34519198.9,9874427.827,20711519.34,1944130.951,388826.1903,43389830.51,65084745.76,108474576.3,101525755.4,121525755.4,142993775.2,-21468019.78,-17174415.83,1862788.931,1084745.763,377153.1164
12/31/2023,30.87860855,0.1925,26895235,20126767.19,6768467.812,4247283.184,2521184.628,2321184.628,2034869.35,221894.3405,68909542.78,34909138.57,36159954.61,10336431.42,21695972.77,2017142.625,403428.525,43898305.08,65847457.63,109745762.7,105835824,125835824,145905717.3,-20069893.34,-16055914.68,2016947.703,1097457.627,391081.7514
1/31/2024,31.29524179,0.1925,21377551.88,16026031.82,5351520.052,4322994.174,1028525.878,828525.8778,2058439.266,-953182.8755,55255536.63,27706021.12,29064159.41,8288330.494,17438495.65,1603316.391,320663.2781,44406779.66,66610169.49,111016949.2,84564874.14,104564874.1,140081108.6,-35516234.43,-28412987.54,822820.7022,1110169.492,307254.9865
2/29/2024,31.08864971,0.1925,19643741.21,14713327.93,4930413.279,4359195.983,571217.2964,371217.2964,2082009.181,-1325863.71,51218003.21,25353474.68,26932871.47,7682700.482,16159722.88,1473280.591,294656.1182,44915254.24,67372881.36,112288135.6,78044758.49,98044758.49,139221007.1,-41176248.57,-32940998.86,456973.8371,1122881.356,283962.0518
3/31/2024,47.9511183,0.2725,22474273.47,18040336.82,4433936.65,5506253.302,100000,-100000,2862641.243,-2296046.963,59106069.48,30984533.29,33328757.84,8865910.422,19997254.71,1685570.51,337114.102,45423728.81,68135593.22,113559322,91776173.28,111776173.3,146888079.9,-35111906.6,-28089525.28,80000,1135593.22,225734.0907
4/30/2024,48.27567296,0.2725,25239601.27,20286182.66,4953418.608,5589254.733,100000,-100000,2894685.734,-2320881.444,66949111.85,34727194.05,37821696.49,10042366.78,22693017.89,1892970.095,378594.0191,45932203.39,68898305.08,114830508.5,103569276,123569276,152652205,-29082928.97,-23266343.18,80000,1148305.085,252129.2579
5/31/2024,48.21194635,0.2725,26741652.21,21488020.12,5253632.091,5646887.069,100000,-100000,2926730.226,-2345715.925,71537696.74,36663175.58,40426614.13,10730654.51,24255968.48,2005623.916,401124.7832,46440677.97,69661016.95,116101694.9,110206496.2,130206496.2,156528309,-26321812.81,-21057450.25,80000,1161016.949,267419.4479
6/30/2024,47.98088607,0.2725,24607050.43,19754672.22,4852378.215,5693167.682,100000,-100000,2958774.718,-2370550.406,66383427.02,33594103.6,37500394.72,9957514.053,22500236.83,1845528.783,369105.7565,46949152.54,70423728.81,117372881.4,101823059.4,121823059.4,154873276.1,-33050216.67,-26440173.34,80000,1173728.814,247031.7725
7/31/2024,47.77862156,0.2725,25645606.74,20571911.07,5073695.674,5741070.018,100000,-100000,2990819.209,-2395384.887,69764743.76,34867645.87,39400439.84,10464711.56,23640263.9,1923420.505,384684.1011,47457627.12,71186440.68,118644067.8,106555810.1,126555810.1,158044507.6,-31488697.5,-25190958,80000,1186440.678,258340.3672
8/31/2024,48.09835648,0.2725,22502878.26,18073850.04,4429028.218,5824560.454,100000,-100000,3022863.701,-2420219.368,61723996.58,30531531.99,34922354.32,9258599.487,20953412.59,1687715.869,337543.1739,47966101.69,71949152.54,119915254.2,93943244.44,113943244.4,154837608.6,-40894364.11,-32715491.29,80000,1199152.542,225461.1346
9/30/2024,48.19198606,0.2725,23519301.79,18897233.63,4622068.161,5892809.352,100000,-100000,3054908.192,-2445053.849,65043492.8,31815681.47,36833590.97,9756523.92,22100154.58,1763947.634,352789.5268,48474576.27,72711864.41,121186440.7,98623121.9,118623121.9,158020031.6,-39396909.74,-31517527.79,80000,1211864.407,235274.3911
10/31/2024,47.79762082,0.2725,24459189.56,19621693.18,4837496.384,5926938.134,100000,-100000,3086952.684,-2469888.33,68195536.99,32924536.01,38578244.21,10229330.55,23146946.53,1834439.217,366887.8434,48983050.85,73474576.27,122457627.1,102954512.2,122954512.2,161035871.3,-38081359.11,-30465087.29,80000,1224576.271,246309.6636
11/30/2024,47.81952736,0.2725,28856263.21,23151134.36,5705128.849,5990017.216,100000,-100000,3118997.175,-2494722.811,81107293.48,38716021.3,45909876.61,12166094.02,27545925.97,2164219.741,432843.9481,49491525.42,74237288.14,123728813.6,121987534.5,141987534.5,169638690.2,-27651155.65,-22120924.52,80000,1237288.136,290481.3448
12/31/2024,47.73830422,0.2725,27586194.94,22125033.61,5461161.33,6045738.36,100000,-100000,3151041.667,-2519557.292,78160885.66,36875056.02,44250067.22,11724132.85,26550040.33,2068964.621,413792.9241,50000000,75000000,125000000,117104906.3,137104906.3,169250067.2,-32145160.92,-25716128.74,80000,1250000,278079.0056
