date,egp_usd_rate,cbe_corridor_rate,risk_free_rate_eg,inflation_rate
4/22/2020,15.70472807,0.0925,0.1225,0.06
4/23/2020,15.89336451,0.0925,0.1225,0.06
4/24/2020,15.68489966,0.0925,0.1225,0.06
4/25/2020,15.72367147,0.0925,0.1225,0.06
4/26/2020,15.69727513,0.0925,0.1225,0.06
4/27/2020,15.60825877,0.0925,0.1225,0.06
4/28/2020,15.78971159,0.0925,0.1225,0.06
4/29/2020,15.75902674,0.0925,0.1225,0.06
4/30/2020,15.76209601,0.0925,0.1225,0.06
5/1/2020,15.62861308,0.0925,0.1225,0.06
5/2/2020,15.81011935,0.0925,0.1225,0.06
5/3/2020,15.58995469,0.0925,0.1225,0.06
5/4/2020,15.74606828,0.0925,0.1225,0.06
5/5/2020,15.87195077,0.0925,0.1225,0.06
5/6/2020,15.6222429,0.0925,0.1225,0.06
5/7/2020,15.65554563,0.0925,0.1225,0.06
5/8/2020,15.70782263,0.0925,0.1225,0.06
5/9/2020,15.66047716,0.0925,0.1225,0.06
5/10/2020,15.57827292,0.0925,0.1225,0.06
5/11/2020,15.70538219,0.0925,0.1225,0.06
5/12/2020,15.61660916,0.0925,0.1225,0.06
5/13/2020,15.73717701,0.0925,0.1225,0.06
5/14/2020,15.6278252,0.0925,0.1225,0.06
5/15/2020,15.82166985,0.0925,0.1225,0.06
5/16/2020,15.63851462,0.0925,0.1225,0.06
5/17/2020,15.67471817,0.0925,0.1225,0.06
5/18/2020,15.7638611,0.0925,0.1225,0.06
5/19/2020,15.60337715,0.0925,0.1225,0.06
5/20/2020,15.7178556,0.0925,0.1225,0.06
5/21/2020,15.80261071,0.0925,0.1225,0.06
5/22/2020,15.57381257,0.0925,0.1225,0.06
5/23/2020,15.71449376,0.0925,0.1225,0.06
5/24/2020,15.7204008,0.0925,0.1225,0.06
5/25/2020,15.7613731,0.0925,0.1225,0.06
5/26/2020,15.60289937,0.0925,0.1225,0.06
5/27/2020,15.59634416,0.0925,0.1225,0.06
5/28/2020,15.74097241,0.0925,0.1225,0.06
5/29/2020,15.7233133,0.0925,0.1225,0.06
5/30/2020,15.71966369,0.0925,0.1225,0.06
5/31/2020,15.72719618,0.0925,0.1225,0.06
6/1/2020,15.64661806,0.0925,0.1225,0.06
6/2/2020,15.71823192,0.0925,0.1225,0.06
6/3/2020,15.72300619,0.0925,0.1225,0.06
6/4/2020,15.64392341,0.0925,0.1225,0.06
6/5/2020,15.8464633,0.0925,0.1225,0.06
6/6/2020,15.73719588,0.0925,0.1225,0.06
6/7/2020,15.60648268,0.0925,0.1225,0.06
6/8/2020,15.75153946,0.0925,0.1225,0.06
6/9/2020,15.62348749,0.0925,0.1225,0.06
6/10/2020,15.76178614,0.0925,0.1225,0.06
6/11/2020,15.79094975,0.0925,0.1225,0.06
6/12/2020,15.63557644,0.0925,0.1225,0.06
6/13/2020,15.77562503,0.0925,0.1225,0.06
6/14/2020,15.7324033,0.0925,0.1225,0.06
6/15/2020,15.76453172,0.0925,0.1225,0.06
6/16/2020,15.84889825,0.0925,0.1225,0.06
6/17/2020,15.68073703,0.0925,0.1225,0.06
6/18/2020,15.64083171,0.0925,0.1225,0.06
6/19/2020,15.63017312,0.0925,0.1225,0.06
6/20/2020,15.63595889,0.0925,0.1225,0.06
6/21/2020,15.69394752,0.0925,0.1225,0.06
6/22/2020,15.72678043,0.0925,0.1225,0.06
6/23/2020,15.72172023,0.0925,0.1225,0.06
6/24/2020,15.76493389,0.0925,0.1225,0.06
6/25/2020,15.70102065,0.0925,0.1225,0.06
6/26/2020,15.81410243,0.0925,0.1225,0.06
6/27/2020,15.67922444,0.0925,0.1225,0.06
6/28/2020,15.91353328,0.0925,0.1225,0.06
6/29/2020,15.74911489,0.0925,0.1225,0.06
6/30/2020,15.63271313,0.0925,0.1225,0.06
7/1/2020,15.61593494,0.0925,0.1225,0.06
7/2/2020,15.73787408,0.0925,0.1225,0.06
7/3/2020,15.68245817,0.0925,0.1225,0.06
7/4/2020,15.75604904,0.0925,0.1225,0.06
7/5/2020,15.73714915,0.0925,0.1225,0.06
7/6/2020,15.69428293,0.0925,0.1225,0.06
7/7/2020,15.63352669,0.0925,0.1225,0.06
7/8/2020,15.58108449,0.0925,0.1225,0.06
7/9/2020,15.66494858,0.0925,0.1225,0.06
7/10/2020,15.76722731,0.0925,0.1225,0.06
7/11/2020,15.71680636,0.0925,0.1225,0.06
7/12/2020,15.60220951,0.0925,0.1225,0.06
7/13/2020,15.7135947,0.0925,0.1225,0.06
7/14/2020,15.73024741,0.0925,0.1225,0.06
7/15/2020,15.63061719,0.0925,0.1225,0.06
7/16/2020,15.71206742,0.0925,0.1225,0.06
7/17/2020,15.70456938,0.0925,0.1225,0.06
7/18/2020,15.61027683,0.0925,0.1225,0.06
7/19/2020,15.72808631,0.0925,0.1225,0.06
7/20/2020,15.74402159,0.0925,0.1225,0.06
7/21/2020,15.78501952,0.0925,0.1225,0.06
7/22/2020,15.78272346,0.0925,0.1225,0.06
7/23/2020,15.59185295,0.0925,0.1225,0.06
7/24/2020,15.62638073,0.0925,0.1225,0.06
7/25/2020,15.74043027,0.0925,0.1225,0.06
7/26/2020,15.7403322,0.0925,0.1225,0.06
7/27/2020,15.74043124,0.0925,0.1225,0.06
7/28/2020,16.00243942,0.0925,0.1225,0.06
7/29/2020,15.74481491,0.0925,0.1225,0.06
7/30/2020,15.7891419,0.0925,0.1225,0.06
7/31/2020,15.77488914,0.0925,0.1225,0.06
8/1/2020,15.75113421,0.0925,0.1225,0.06
8/2/2020,15.67525136,0.0925,0.1225,0.06
8/3/2020,15.75957908,0.0925,0.1225,0.06
8/4/2020,15.63933322,0.0925,0.1225,0.06
8/5/2020,15.68140974,0.0925,0.1225,0.06
8/6/2020,15.66189896,0.0925,0.1225,0.06
8/7/2020,15.70642712,0.0925,0.1225,0.06
8/8/2020,15.8817007,0.0925,0.1225,0.06
8/9/2020,15.55341968,0.0925,0.1225,0.06
8/10/2020,15.75387142,0.0925,0.1225,0.06
8/11/2020,15.5734018,0.0925,0.1225,0.06
8/12/2020,15.66295335,0.0925,0.1225,0.06
8/13/2020,15.78548262,0.0925,0.1225,0.06
8/14/2020,15.70504598,0.0925,0.1225,0.06
8/15/2020,15.61539703,0.0925,0.1225,0.06
8/16/2020,15.64384866,0.0925,0.1225,0.06
8/17/2020,15.75334842,0.0925,0.1225,0.06
8/18/2020,15.64266622,0.0925,0.1225,0.06
8/19/2020,15.716992,0.0925,0.1225,0.06
8/20/2020,15.70357739,0.0925,0.1225,0.06
8/21/2020,15.64884937,0.0925,0.1225,0.06
8/22/2020,15.86829961,0.0925,0.1225,0.06
8/23/2020,15.74976264,0.0925,0.1225,0.06
8/24/2020,15.54102631,0.0925,0.1225,0.06
8/25/2020,15.71463666,0.0925,0.1225,0.06
8/26/2020,15.64804976,0.0925,0.1225,0.06
8/27/2020,15.76691602,0.0925,0.1225,0.06
8/28/2020,15.63778712,0.0925,0.1225,0.06
8/29/2020,15.69099319,0.0925,0.1225,0.06
8/30/2020,15.7396415,0.0925,0.1225,0.06
8/31/2020,15.76796178,0.0925,0.1225,0.06
9/1/2020,15.60577673,0.0925,0.1225,0.06
9/2/2020,15.67374165,0.0925,0.1225,0.06
9/3/2020,15.66271679,0.0925,0.1225,0.06
9/4/2020,15.64871366,0.0925,0.1225,0.06
9/5/2020,15.83858816,0.0925,0.1225,0.06
9/6/2020,15.73179106,0.0925,0.1225,0.06
9/7/2020,15.60102061,0.0925,0.1225,0.06
9/8/2020,15.77205216,0.0925,0.1225,0.06
9/9/2020,15.86658926,0.0925,0.1225,0.06
9/10/2020,15.78104852,0.0925,0.1225,0.06
9/11/2020,15.58072946,0.0925,0.1225,0.06
9/12/2020,15.66198763,0.0925,0.1225,0.06
9/13/2020,15.79945253,0.0925,0.1225,0.06
9/14/2020,15.64444795,0.0925,0.1225,0.06
9/15/2020,15.73483983,0.0925,0.1225,0.06
9/16/2020,15.76080877,0.0925,0.1225,0.06
9/17/2020,15.62723596,0.0925,0.1225,0.06
9/18/2020,15.69532726,0.0925,0.1225,0.06
9/19/2020,15.44556051,0.0925,0.1225,0.06
9/20/2020,15.61958557,0.0925,0.1225,0.06
9/21/2020,15.6801734,0.0925,0.1225,0.06
9/22/2020,15.60204902,0.0925,0.1225,0.06
9/23/2020,15.82814429,0.0925,0.1225,0.06
9/24/2020,15.5877339,0.0925,0.1225,0.06
9/25/2020,15.66545651,0.0925,0.1225,0.06
9/26/2020,15.71026314,0.0925,0.1225,0.06
9/27/2020,15.81313995,0.0925,0.1225,0.06
9/28/2020,15.58728482,0.0925,0.1225,0.06
9/29/2020,15.79130835,0.0925,0.1225,0.06
9/30/2020,15.7008033,0.0925,0.1225,0.06
10/1/2020,15.62295157,0.0925,0.1225,0.06
10/2/2020,15.73627512,0.0925,0.1225,0.06
10/3/2020,15.71562619,0.0925,0.1225,0.06
10/4/2020,15.65288298,0.0925,0.1225,0.06
10/5/2020,15.70547946,0.0925,0.1225,0.06
10/6/2020,15.66975288,0.0925,0.1225,0.06
10/7/2020,15.70891111,0.0925,0.1225,0.06
10/8/2020,15.75197726,0.0925,0.1225,0.06
10/9/2020,15.82450232,0.0925,0.1225,0.06
10/10/2020,15.60283148,0.0925,0.1225,0.06
10/11/2020,15.86744312,0.0925,0.1225,0.06
10/12/2020,15.54676111,0.0925,0.1225,0.06
10/13/2020,15.68808487,0.0925,0.1225,0.06
10/14/2020,15.7461829,0.0925,0.1225,0.06
10/15/2020,15.72205786,0.0925,0.1225,0.06
10/16/2020,15.65111809,0.0925,0.1225,0.06
10/17/2020,15.6836624,0.0925,0.1225,0.06
10/18/2020,15.66129943,0.0925,0.1225,0.06
10/19/2020,15.65373487,0.0925,0.1225,0.06
10/20/2020,15.76669376,0.0925,0.1225,0.06
10/21/2020,15.72802572,0.0925,0.1225,0.06
10/22/2020,15.6456066,0.0925,0.1225,0.06
10/23/2020,15.77061859,0.0925,0.1225,0.06
10/24/2020,15.72412301,0.0925,0.1225,0.06
10/25/2020,15.76380968,0.0925,0.1225,0.06
10/26/2020,15.74942586,0.0925,0.1225,0.06
10/27/2020,15.63492389,0.0925,0.1225,0.06
10/28/2020,15.65602579,0.0925,0.1225,0.06
10/29/2020,15.75866255,0.0925,0.1225,0.06
10/30/2020,15.74791407,0.0925,0.1225,0.06
10/31/2020,15.69835922,0.0925,0.1225,0.06
11/1/2020,15.7092102,0.0925,0.1225,0.06
11/2/2020,15.80029669,0.0925,0.1225,0.06
11/3/2020,15.65356165,0.0925,0.1225,0.06
11/4/2020,15.74294714,0.0925,0.1225,0.06
11/5/2020,15.68412788,0.0925,0.1225,0.06
11/6/2020,15.68291203,0.0925,0.1225,0.06
11/7/2020,15.78625398,0.0925,0.1225,0.06
11/8/2020,15.76479518,0.0925,0.1225,0.06
11/9/2020,15.76386051,0.0925,0.1225,0.06
11/10/2020,15.80248009,0.0925,0.1225,0.06
11/11/2020,15.7016488,0.0925,0.1225,0.06
11/12/2020,15.75353331,0.0925,0.1225,0.06
11/13/2020,15.67564406,0.0925,0.1225,0.06
11/14/2020,15.72544706,0.0925,0.1225,0.06
11/15/2020,15.68978377,0.0925,0.1225,0.06
11/16/2020,15.70761418,0.0925,0.1225,0.06
11/17/2020,15.74671983,0.0925,0.1225,0.06
11/18/2020,15.63576968,0.0925,0.1225,0.06
11/19/2020,15.8642524,0.0925,0.1225,0.06
11/20/2020,15.62102764,0.0925,0.1225,0.06
11/21/2020,15.60468619,0.0925,0.1225,0.06
11/22/2020,15.7909117,0.0925,0.1225,0.06
11/23/2020,15.76214552,0.0925,0.1225,0.06
11/24/2020,15.74899341,0.0925,0.1225,0.06
11/25/2020,15.74932512,0.0925,0.1225,0.06
11/26/2020,15.69903863,0.0925,0.1225,0.06
11/27/2020,15.62956553,0.0925,0.1225,0.06
11/28/2020,15.70595066,0.0925,0.1225,0.06
11/29/2020,15.64684281,0.0925,0.1225,0.06
11/30/2020,15.7765469,0.0925,0.1225,0.06
12/1/2020,15.688456,0.0925,0.1225,0.06
12/2/2020,15.63519847,0.0925,0.1225,0.06
12/3/2020,15.67477121,0.0925,0.1225,0.06
12/4/2020,15.73241512,0.0925,0.1225,0.06
12/5/2020,15.65574762,0.0925,0.1225,0.06
12/6/2020,15.6354557,0.0925,0.1225,0.06
12/7/2020,15.71912945,0.0925,0.1225,0.06
12/8/2020,15.71922988,0.0925,0.1225,0.06
12/9/2020,15.66020496,0.0925,0.1225,0.06
12/10/2020,15.66302349,0.0925,0.1225,0.06
12/11/2020,15.71821592,0.0925,0.1225,0.06
12/12/2020,15.58632538,0.0925,0.1225,0.06
12/13/2020,15.58951409,0.0925,0.1225,0.06
12/14/2020,15.64360213,0.0925,0.1225,0.06
12/15/2020,15.6832444,0.0925,0.1225,0.06
12/16/2020,15.72440624,0.0925,0.1225,0.06
12/17/2020,15.81581546,0.0925,0.1225,0.06
12/18/2020,15.76732628,0.0925,0.1225,0.06
12/19/2020,15.68744483,0.0925,0.1225,0.06
12/20/2020,15.69850723,0.0925,0.1225,0.06
12/21/2020,15.62130144,0.0925,0.1225,0.06
12/22/2020,15.69854672,0.0925,0.1225,0.06
12/23/2020,15.6773403,0.0925,0.1225,0.06
12/24/2020,15.72533341,0.0925,0.1225,0.06
12/25/2020,15.63506237,0.0925,0.1225,0.06
12/26/2020,15.7407687,0.0925,0.1225,0.06
12/27/2020,15.82032,0.0925,0.1225,0.06
12/28/2020,15.69146233,0.0925,0.1225,0.06
12/29/2020,15.73153437,0.0925,0.1225,0.06
12/30/2020,15.7541763,0.0925,0.1225,0.06
12/31/2020,15.66850419,0.0925,0.1225,0.06
1/1/2021,15.71759126,0.0925,0.1225,0.06
1/2/2021,15.7009885,0.0925,0.1225,0.06
1/3/2021,15.70766757,0.0925,0.1225,0.06
1/4/2021,15.63931873,0.0925,0.1225,0.06
1/5/2021,15.70192405,0.0925,0.1225,0.06
1/6/2021,15.73909287,0.0925,0.1225,0.06
1/7/2021,15.81391477,0.0925,0.1225,0.06
1/8/2021,15.77530276,0.0925,0.1225,0.06
1/9/2021,15.86902482,0.0925,0.1225,0.06
1/10/2021,15.63976322,0.0925,0.1225,0.06
1/11/2021,15.76847717,0.0925,0.1225,0.06
1/12/2021,15.71439235,0.0925,0.1225,0.06
1/13/2021,15.87189953,0.0925,0.1225,0.06
1/14/2021,15.63654858,0.0925,0.1225,0.06
1/15/2021,15.63408184,0.0925,0.1225,0.06
1/16/2021,15.65294768,0.0925,0.1225,0.06
1/17/2021,15.53327419,0.0925,0.1225,0.06
1/18/2021,15.65872823,0.0925,0.1225,0.06
1/19/2021,15.64040809,0.0925,0.1225,0.06
1/20/2021,15.71180591,0.0925,0.1225,0.06
1/21/2021,15.72682784,0.0925,0.1225,0.06
1/22/2021,15.84727941,0.0925,0.1225,0.06
1/23/2021,15.77460827,0.0925,0.1225,0.06
1/24/2021,15.65471306,0.0925,0.1225,0.06
1/25/2021,15.62947445,0.0925,0.1225,0.06
1/26/2021,15.73861565,0.0925,0.1225,0.06
1/27/2021,15.59636169,0.0925,0.1225,0.06
1/28/2021,15.84376951,0.0925,0.1225,0.06
1/29/2021,15.79258605,0.0925,0.1225,0.06
1/30/2021,15.66316971,0.0925,0.1225,0.06
1/31/2021,15.56551894,0.0925,0.1225,0.06
2/1/2021,15.80627898,0.0925,0.1225,0.06
2/2/2021,15.69100862,0.0925,0.1225,0.06
2/3/2021,15.79716858,0.0925,0.1225,0.06
2/4/2021,15.57483743,0.0925,0.1225,0.06
2/5/2021,15.65294906,0.0925,0.1225,0.06
2/6/2021,15.70041163,0.0925,0.1225,0.06
2/7/2021,15.70368798,0.0925,0.1225,0.06
2/8/2021,15.66466986,0.0925,0.1225,0.06
2/9/2021,15.74889372,0.0925,0.1225,0.06
2/10/2021,15.6161918,0.0925,0.1225,0.06
2/11/2021,15.68882321,0.0925,0.1225,0.06
2/12/2021,15.70944321,0.0925,0.1225,0.06
2/13/2021,15.74038345,0.0925,0.1225,0.06
2/14/2021,15.75586177,0.0925,0.1225,0.06
2/15/2021,15.6117156,0.0925,0.1225,0.06
2/16/2021,15.57957204,0.0925,0.1225,0.06
2/17/2021,15.80029763,0.0925,0.1225,0.06
2/18/2021,15.72608665,0.0925,0.1225,0.06
2/19/2021,15.64124381,0.0925,0.1225,0.06
2/20/2021,15.82176543,0.0925,0.1225,0.06
2/21/2021,15.70908046,0.0925,0.1225,0.06
2/22/2021,15.79257483,0.0925,0.1225,0.06
2/23/2021,15.7053002,0.0925,0.1225,0.06
2/24/2021,15.86176871,0.0925,0.1225,0.06
2/25/2021,15.83779426,0.0925,0.1225,0.06
2/26/2021,15.68045631,0.0925,0.1225,0.06
2/27/2021,15.77626832,0.0925,0.1225,0.06
2/28/2021,15.75066201,0.0925,0.1225,0.06
3/1/2021,15.80743758,0.0925,0.1225,0.06
3/2/2021,15.62425351,0.0925,0.1225,0.06
3/3/2021,15.75385504,0.0925,0.1225,0.06
3/4/2021,15.78308632,0.0925,0.1225,0.06
3/5/2021,15.56193895,0.0925,0.1225,0.06
3/6/2021,15.60711421,0.0925,0.1225,0.06
3/7/2021,15.53992027,0.0925,0.1225,0.06
3/8/2021,15.67885156,0.0925,0.1225,0.06
3/9/2021,15.75632707,0.0925,0.1225,0.06
3/10/2021,15.81793503,0.0925,0.1225,0.06
3/11/2021,15.70581644,0.0925,0.1225,0.06
3/12/2021,15.82784632,0.0925,0.1225,0.06
3/13/2021,15.59166204,0.0925,0.1225,0.06
3/14/2021,15.56628448,0.0925,0.1225,0.06
3/15/2021,15.69563951,0.0925,0.1225,0.06
3/16/2021,15.73014914,0.0925,0.1225,0.06
3/17/2021,15.69743346,0.0925,0.1225,0.06
3/18/2021,15.5377058,0.0925,0.1225,0.06
3/19/2021,15.69300408,0.0925,0.1225,0.06
3/20/2021,15.59759914,0.0925,0.1225,0.06
3/21/2021,15.7525693,0.0925,0.1225,0.06
3/22/2021,15.72877796,0.0925,0.1225,0.06
3/23/2021,15.62621944,0.0925,0.1225,0.06
3/24/2021,15.65966145,0.0925,0.1225,0.06
3/25/2021,15.61685174,0.0925,0.1225,0.06
3/26/2021,15.69507969,0.0925,0.1225,0.06
3/27/2021,15.77497867,0.0925,0.1225,0.06
3/28/2021,15.62262051,0.0925,0.1225,0.06
3/29/2021,15.73956765,0.0925,0.1225,0.06
3/30/2021,15.65837478,0.0925,0.1225,0.06
3/31/2021,15.63775948,0.0925,0.1225,0.06
4/1/2021,15.69159812,0.0925,0.1225,0.06
4/2/2021,15.61873348,0.0925,0.1225,0.06
4/3/2021,15.65653853,0.0925,0.1225,0.06
4/4/2021,15.60596659,0.0925,0.1225,0.06
4/5/2021,15.85423092,0.0925,0.1225,0.06
4/6/2021,15.70276819,0.0925,0.1225,0.06
4/7/2021,15.64507155,0.0925,0.1225,0.06
4/8/2021,15.71679742,0.0925,0.1225,0.06
4/9/2021,15.69118225,0.0925,0.1225,0.06
4/10/2021,15.68265389,0.0925,0.1225,0.06
4/11/2021,15.74821209,0.0925,0.1225,0.06
4/12/2021,15.75946436,0.0925,0.1225,0.06
4/13/2021,15.65835566,0.0925,0.1225,0.06
4/14/2021,15.65479827,0.0925,0.1225,0.06
4/15/2021,15.67840844,0.0925,0.1225,0.06
4/16/2021,15.51929919,0.0925,0.1225,0.06
4/17/2021,15.5810575,0.0925,0.1225,0.06
4/18/2021,15.80729963,0.0925,0.1225,0.06
4/19/2021,15.82912997,0.0925,0.1225,0.06
4/20/2021,15.68045067,0.0925,0.1225,0.06
4/21/2021,15.74525972,0.0925,0.1225,0.06
4/22/2021,15.72443314,0.0925,0.1225,0.06
4/23/2021,15.94169214,0.0925,0.1225,0.06
4/24/2021,15.78788663,0.0925,0.1225,0.06
4/25/2021,15.68995847,0.0925,0.1225,0.06
4/26/2021,15.62499008,0.0925,0.1225,0.06
4/27/2021,15.57389396,0.0925,0.1225,0.06
4/28/2021,15.7159719,0.0925,0.1225,0.06
4/29/2021,15.64062647,0.0925,0.1225,0.06
4/30/2021,15.58835308,0.0925,0.1225,0.06
5/1/2021,15.64924403,0.0925,0.1225,0.06
5/2/2021,15.61509848,0.0925,0.1225,0.06
5/3/2021,15.83244062,0.0925,0.1225,0.06
5/4/2021,15.76920872,0.0925,0.1225,0.06
5/5/2021,15.69937415,0.0925,0.1225,0.06
5/6/2021,15.81617561,0.0925,0.1225,0.06
5/7/2021,15.70607341,0.0925,0.1225,0.06
5/8/2021,15.63238919,0.0925,0.1225,0.06
5/9/2021,15.81956524,0.0925,0.1225,0.06
5/10/2021,15.74230444,0.0925,0.1225,0.06
5/11/2021,15.61857618,0.0925,0.1225,0.06
5/12/2021,15.68505841,0.0925,0.1225,0.06
5/13/2021,15.63126397,0.0925,0.1225,0.06
5/14/2021,15.59145022,0.0925,0.1225,0.06
5/15/2021,15.77270494,0.0925,0.1225,0.06
5/16/2021,15.84988921,0.0925,0.1225,0.06
5/17/2021,15.59021245,0.0925,0.1225,0.06
5/18/2021,15.74419309,0.0925,0.1225,0.06
5/19/2021,15.64892456,0.0925,0.1225,0.06
5/20/2021,15.66176066,0.0925,0.1225,0.06
5/21/2021,15.65349708,0.0925,0.1225,0.06
5/22/2021,15.63217672,0.0925,0.1225,0.06
5/23/2021,15.70380895,0.0925,0.1225,0.06
5/24/2021,15.63477042,0.0925,0.1225,0.06
5/25/2021,15.72123086,0.0925,0.1225,0.06
5/26/2021,15.69605631,0.0925,0.1225,0.06
5/27/2021,15.68124258,0.0925,0.1225,0.06
5/28/2021,15.62875625,0.0925,0.1225,0.06
5/29/2021,15.65472345,0.0925,0.1225,0.06
